mirna_info	isomiR_rpm_embryo	miRNA_rpm_embryo	Total_rpm_embryo	isomiR_rpm_L1	miRNA_rpm_L1	Total_rpm_L1	isomiR_rpm_L2	miRNA_rpm_L2	Total_rpm_L2	isomiR_rpm_L3	miRNA_rpm_L3	Total_rpm_L3	isomiR_rpm_L4	miRNA_rpm_L4	Total_rpm_L4	isomiR_rpm_YA	miRNA_rpm_YA	Total_rpm_YA	isomiR_rpm_dauer	miRNA_rpm_dauer	Total_rpm_dauer
cel-miR-50-5p	3661.47784918736	5311.05479836327	8972.53264755063	4164.25725335584	6277.63244390055	10441.8896972564	5951.0309604809	7234.35659386044	13185.3875543413	4195.62581549215	2986.15918406733	7181.78499955948	3626.00202286581	1559.30633703032	5185.30835989613	2419.08948091093	1309.41238078352	3728.50186169445	8827.99597050214	6382.22583711738	15210.2218076195
cel-miR-87-3p	737.498491622826	6800.46951667678	7537.9680082996	468.935773676787	3796.89258855237	4265.82836222915	495.597026417842	3496.91235185922	3992.50937827706	149.861759658993	1228.43010157204	1378.29186123103	151.397085614466	1050.24409225151	1201.64117786598	111.330565188169	869.038145150317	980.368710338486	2167.06707958047	21310.8866408936	23477.9537204741
cel-miR-229-5p	10383.2766810374	7847.47916872354	18230.7558497609	375.90802910123	497.88828601918	873.79631512041	785.061956294929	935.594386433681	1720.65634272861	764.412447084786	867.452895495337	1631.86534258012	638.042524346492	832.600326080883	1470.64285042738	471.381859715241	652.314644917347	1123.69650463259	5339.81502288848	8756.65306952831	14096.4680924168
cel-miR-59-3p	7.36558204553183	176.930683604371	184.296265649903	8.85978519767209	352.809303407299	361.669088604971	19.8665474673819	658.662714690379	678.529262157761	493.050223827684	16269.8182947141	16762.8685185418	338.761434662204	10941.0742468037	11279.8356814659	192.972979659493	6988.26081040405	7181.23379006354	7.83290010691909	177.722152425907	185.555052532826
cel-miR-233-3p	5012.67036826343	8622.11899959724	13634.7893678607	211.210950694504	121.189204668158	332.400155362662	186.798879206725	150.932427738767	337.731306945492	59.2398669200723	52.3593158047098	111.599182724782	54.7036983380448	41.4878201462847	96.1915184843295	31.832294935284	39.7491351264427	71.5814300617266	13244.6931307901	8557.01996680332	21801.7130975934
cel-let-7-5p	72.715533385676	260.929661825755	333.645195211431	2.84778809925174	10.6001001472148	13.4478882464666	16.3999016005904	141.199152805083	157.599054405674	1494.42213859276	14699.7100938524	16194.1322324452	1153.29448422777	8995.99809825186	10149.2925824796	666.004181081226	4921.47071799968	5587.47489908091	87.9613512006724	219.532902996624	307.494254197297
cel-miR-77-3p	85.2526943142408	1310.76017508145	1396.01286939569	18.9852539950116	52.0512380363235	71.0364920313352	136.532514138249	490.530390150992	627.062904289241	609.683956149073	4070.93680381619	4680.62075996526	1478.17088230876	8811.81225155404	10289.9831338628	2349.81712923829	9571.78965945217	11921.6067886905	147.660752015569	3266.00179458092	3413.66254659649
cel-miR-60-3p	615.73131610414	11525.255327118	12140.9866432222	339.519625610791	1320.42441535306	1659.94404096385	263.065088276137	1182.25957310923	1445.32466138537	242.497472236557	1166.33732321389	1408.83479545045	314.169863849688	1818.93979213933	2133.10965598902	266.53361976901	1412.99103995118	1679.52465972019	844.259611524144	10327.3612409685	11171.6208524926
cel-miR-237-5p	2.03728865089178	4.70143534821181	6.73872399910359	57.9050246847855	228.930521089848	286.835545774634	589.863127487902	2873.58275850345	3463.44588599135	1660.89791192055	12460.1746149618	14121.0725268824	1189.76361645313	7868.63350161552	9058.39711806865	561.930719401619	3911.578791115	4473.50951051662	1.58775002167279	9.20895012570217	10.796700147375
cel-miR-42-3p	1799.55273678387	13310.2336143225	15109.7863511063	781.876043694562	897.844303514091	1679.72034720865	523.196860818835	579.596522420866	1102.7933832397	187.453063313657	248.874568392259	436.327631705915	41.8223993410128	63.4027574009754	105.225156741988	247.566190144359	335.805971441648	583.372161586007	748.994610223777	6023.076782215	6772.07139243877
cel-miR-43-3p	185.549981742759	16993.8082096464	17179.3581913892	0.474631349875291	70.8782815813767	71.352912931252	0.533330133352533	55.1996688019872	55.7329989353397	1.17472823920823	27.0187495017894	28.1934777409976	0.669158389456205	25.5953083966998	26.264466786156	0.824670853245698	97.970897365589	98.7955682188347	68.2732509319299	3566.61579868431	3634.88904961624
cel-miR-38-3p	556.02308718185	15274.1798737821	15830.202960964	9.65083744746424	31.1674586418107	40.818296089275	6.13329653355413	27.4665018676555	33.5997984012096	2.51727479830336	33.2280273376043	35.7453021359077	10.3719550365712	161.099882261581	171.471837298153	119.247405379328	1364.83026212163	1484.07766750096	113.471201548882	1764.83707409003	1878.30827563891
cel-miR-84-5p	105.939009846373	96.222710126735	202.161719973108	438.40115683481	713.212708412604	1151.61386524741	1458.79124725252	2202.25345314595	3661.04470039846	2174.08633413467	3093.05945383528	5267.14578796994	1906.93412035282	2994.81837201125	4901.75249236407	1059.53711225007	1726.69583252584	2786.23294477592	137.075751871084	123.844501690477	260.920253561561
cel-miR-62	720.416609857656	6866.60304057495	7587.01965043261	349.486883958172	93.5023759254323	442.989259883605	287.464941877015	97.999412003528	385.464353880543	98.3415354537178	120.829190318561	219.170725772279	86.3214322398505	102.046654392071	188.368086631922	62.8399190173222	47.6659753176014	110.505894334924	993.613963562831	6277.9635856942	7271.57754925703
cel-miR-235-3p	10.499872277673	346.339070651603	356.838942929276	107.741316421691	809.562872437287	917.304188858978	162.399025605846	1429.45808991813	1591.85711552397	60.9180501189412	758.370987568858	819.289037687799	154.575587964383	1804.38559716866	1958.96118513304	87.415110444044	920.662540563498	1008.07765100754	283.678003872205	8815.29397032876	9098.97197420097
cel-miR-34-5p	156.087653560632	665.723245306792	821.810898867424	98.4068998741436	104.577107422522	202.984007296666	144.665798671875	173.59895840625	318.264757078124	148.519213099898	161.776860370962	310.29607347086	171.471837298153	211.286761470797	382.758598768949	201.549556533249	200.889819850652	402.439376383901	1503.91682052846	10756.4771468259	12260.3939673544
